song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot
At Last,Etta James,0.274,0.348,5.0,-8.631,1.0,0.0293,0.547,0.0133,0.334,0.328,87.43,audio_features,spotify:track:4Hhv2vrOTy89HFRcjU3QOx,https://api.spotify.com/v1/tracks/4Hhv2vrOTy89HFRcjU3QOx,https://api.spotify.com/v1/audio-analysis/4Hhv2vrOTy89HFRcjU3QOx,179693.0,3.0,No
Can't Help Falling in Love,Elvis Presley,0.678,0.163,2.0,-16.594,1.0,0.06,0.909,0.805,0.0949,0.507,139.914,audio_features,spotify:track:0ghQkNDYLSl4GsqfkjTjWx,https://api.spotify.com/v1/tracks/0ghQkNDYLSl4GsqfkjTjWx,https://api.spotify.com/v1/audio-analysis/0ghQkNDYLSl4GsqfkjTjWx,169714.0,4.0,No
Fly Me To The Moon (In Other Words),Frank Sinatra,0.668,0.26,7.0,-14.256,1.0,0.0523,0.453,0.0,0.0621,0.368,119.416,audio_features,spotify:track:5b7OgznPJJr1vHNYGyvxau,https://api.spotify.com/v1/tracks/5b7OgznPJJr1vHNYGyvxau,https://api.spotify.com/v1/audio-analysis/5b7OgznPJJr1vHNYGyvxau,147000.0,4.0,No
Stand by Me,Ben E. King,0.65,0.306,9.0,-9.443,1.0,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,audio_features,spotify:track:3SdTKo2uVsxFblQjpScoHy,https://api.spotify.com/v1/tracks/3SdTKo2uVsxFblQjpScoHy,https://api.spotify.com/v1/audio-analysis/3SdTKo2uVsxFblQjpScoHy,180056.0,4.0,No
"Oh, Pretty Woman",Roy Orbison,0.619,0.603,9.0,-9.481,1.0,0.0342,0.712,0.0,0.0721,0.958,127.433,audio_features,spotify:track:48i055G1OT5KxGGftwFxWy,https://api.spotify.com/v1/tracks/48i055G1OT5KxGGftwFxWy,https://api.spotify.com/v1/audio-analysis/48i055G1OT5KxGGftwFxWy,178933.0,4.0,No
Ring of Fire,Johnny Cash,0.659,0.585,7.0,-8.189,1.0,0.0288,0.623,0.000213,0.348,0.784,104.111,audio_features,spotify:track:6YffUZJ2R06kyxyK6onezL,https://api.spotify.com/v1/tracks/6YffUZJ2R06kyxyK6onezL,https://api.spotify.com/v1/audio-analysis/6YffUZJ2R06kyxyK6onezL,158427.0,4.0,No
Blowin' in the Wind,Bob Dylan,0.38,0.0993,2.0,-20.567,1.0,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,audio_features,spotify:track:18GiV1BaXzPVYpp9rmOg0E,https://api.spotify.com/v1/tracks/18GiV1BaXzPVYpp9rmOg0E,https://api.spotify.com/v1/audio-analysis/18GiV1BaXzPVYpp9rmOg0E,165427.0,4.0,No
In Dreams,Roy Orbison,0.495,0.435,0.0,-9.99,1.0,0.0286,0.67,0.00038,0.13,0.71,108.189,audio_features,spotify:track:44pN9jfSqY3d3lrKuv3QeN,https://api.spotify.com/v1/tracks/44pN9jfSqY3d3lrKuv3QeN,https://api.spotify.com/v1/audio-analysis/44pN9jfSqY3d3lrKuv3QeN,169160.0,4.0,No
Twist And Shout - Remastered 2009,The Beatles,0.482,0.849,2.0,-9.198,1.0,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,audio_features,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,https://api.spotify.com/v1/tracks/5ZBeML7Lf3FMEVviTyvi8l,https://api.spotify.com/v1/audio-analysis/5ZBeML7Lf3FMEVviTyvi8l,155227.0,4.0,No
Are You Lonesome Tonight,Elvis Presley,0.433,0.0748,0.0,-19.351,1.0,0.049,0.92,0.00104,0.105,0.193,73.093,audio_features,spotify:track:4xUqqie4bBKufHtlMuZS3k,https://api.spotify.com/v1/tracks/4xUqqie4bBKufHtlMuZS3k,https://api.spotify.com/v1/audio-analysis/4xUqqie4bBKufHtlMuZS3k,186667.0,3.0,No
I Saw Her Standing There - Remastered 2009,The Beatles,0.491,0.801,4.0,-9.835,1.0,0.0361,0.27,0.0,0.0665,0.971,160.109,audio_features,spotify:track:3KiexfmhxHvG5IgAElmTkd,https://api.spotify.com/v1/tracks/3KiexfmhxHvG5IgAElmTkd,https://api.spotify.com/v1/audio-analysis/3KiexfmhxHvG5IgAElmTkd,173947.0,4.0,No
The Sound of Silence - Acoustic Version,Simon & Garfunkel,0.525,0.216,6.0,-13.551,1.0,0.0301,0.837,0.0,0.107,0.328,106.761,audio_features,spotify:track:5y788ya4NvwhBznoDIcXwK,https://api.spotify.com/v1/tracks/5y788ya4NvwhBznoDIcXwK,https://api.spotify.com/v1/audio-analysis/5y788ya4NvwhBznoDIcXwK,185413.0,4.0,No
